dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname,weighted_GDP
127,107,rj_karauli,Karauli,karauli,08,8,RJ,RAJASTHAN,3.902144103135383
637,588,kl_kasaragod,Kasaragod,kasaragod,32,29,KL,KERALA,1.4450548755413346
181,202,up_kasganj,Kasganj,kasganj,09,9,UP,UTTAR PRADESH,2.5412748762236643
503,450,mp_katni,Katni,katni,23,23,MP,MADHYA PRADESH,2.91323792253956
182,174,up_kaushambi,Kaushambi,kaushambi,09,9,UP,UTTAR PRADESH,2.6921344760527184
436,379,od_kendrapara,Kendrapara,kendrapara,21,21,OD,ODISHA,3.324917440021568
437,375,od_kendujhar,Kendujhar,kendujhar,21,21,OD,ODISHA,3.4186886404238415
183,153,up_kheri,Kheri,kheri,09,9,UP,UTTAR PRADESH,6.6734149070182855
438,386,od_khordha,Khordha,khordha,21,21,OD,ODISHA,3.6829424212971578
321,708,tr_khowai,Khowai,khowai,16,16,TR,TRIPURA,0.8519227138834042
407,365,jh_khunti,Khunti,khunti,20,20,JH,JHARKHAND,0.7668067398215088
119,099,rj_ganganagar,Ganganagar,ganganagar,08,8,RJ,RAJASTHAN,6.638373119257221
328,714,mg_east_jaintia_hills,East Jaintia Hills,east_jaintia_hills,17,17,MG,MEGHALAYA,0.4604504652268752
616,576,ka_kodagu,Kodagu,kodagu,29,26,KA,KARNATAKA,0.8915202272026813
408,348,jh_kodarma,Kodarma,kodarma,20,20,JH,JHARKHAND,1.715953998150684
361,300,as_kokrajhar,Kokrajhar,kokrajhar,18,18,AS,ASSAM,1.566718382213829
617,581,ka_kolar,Kolar,kolar,29,26,KA,KARNATAKA,6.408809646275662
638,600,kl_kollam,Kollam,kollam,32,29,KL,KERALA,3.7243583575920973
465,722,cg_kondagaon,Kondagaon,kondagaon,22,22,CG,CHHATTISGARH,0.7754996741581189
618,560,ka_koppal,Koppal,koppal,29,26,KA,KARNATAKA,5.300221531558551
439,398,od_koraput,Koraput,koraput,21,21,OD,ODISHA,3.8660573717230338
466,404,cg_korba,Korba,korba,22,22,CG,CHHATTISGARH,3.791610982329741
467,400,cg_koriya,Koriya,koriya,22,22,CG,CHHATTISGARH,1.370605502976993
128,127,rj_kota,Kota,kota,08,8,RJ,RAJASTHAN,4.206379829356738
639,597,kl_kottayam,Kottayam,kottayam,32,29,KL,KERALA,3.160894245329656
640,591,kl_kozhikode,Kozhikode,kozhikode,32,29,KL,KERALA,4.188180193836017
28,026,hp_kullu,Kullu,kullu,02,2,HP,HIMACHAL PRADESH,0.4730527296363773
184,189,up_kushinagar,Kushinagar,kushinagar,09,9,UP,UTTAR PRADESH,4.4507211798085455
632,587,ld_lakshadweep,Lakshadweep,lakshadweep,31,28,LD,LAKSHADWEEP,0.010065773
185,167,up_lalitpur,Lalitpur,lalitpur,09,9,UP,UTTAR PRADESH,3.253923229991738
409,359,jh_latehar,Latehar,latehar,20,20,JH,JHARKHAND,1.0160145646326841
410,356,jh_lohardaga,Lohardaga,lohardaga,20,20,JH,JHARKHAND,0.7784047108667589
186,157,up_lucknow,Lucknow,lucknow,09,9,UP,UTTAR PRADESH,5.525872946281457
468,411,cg_mahasamund,Mahasamund,mahasamund,22,22,CG,CHHATTISGARH,1.5028075487888246
686,636,py_mahe,Mahe,mahe,34,31,PY,PUDUCHERRY,0.016653949508489575
548,730,gj_mahisagar,Mahisagar,mahisagar,24,24,GJ,GUJARAT,1.5532747343564965
187,169,up_mahoba,Mahoba,mahoba,09,9,UP,UTTAR PRADESH,1.9128290747024757
189,148,up_mainpuri,Mainpuri,mainpuri,09,9,UP,UTTAR PRADESH,4.25819813425092
641,592,kl_malappuram,Malappuram,malappuram,32,29,KL,KERALA,4.94250815971025
440,399,od_malkangiri,Malkangiri,malkangiri,21,21,OD,ODISHA,0.8188606999704453
619,573,ka_mandya,Mandya,mandya,29,26,KA,KARNATAKA,5.149219981421197
30,027,hp_mandi,Mandi,mandi,02,2,HP,HIMACHAL PRADESH,1.4219690743810989
504,454,mp_mandla,Mandla,mandla,23,23,MP,MADHYA PRADESH,1.5392250098207128
505,433,mp_mandsaur,Mandsaur,mandsaur,23,23,MP,MADHYA PRADESH,3.5704675401770958
190,145,up_mathura,Mathura,mathura,09,9,UP,UTTAR PRADESH,6.296442180103466
191,192,up_mau,Mau,mau,09,9,UP,UTTAR PRADESH,4.588204698567194
441,376,od_mayurbhanj,Mayurbhanj,mayurbhanj,21,21,OD,ODISHA,4.224628348719054
192,138,up_meerut,Meerut,meerut,09,9,UP,UTTAR PRADESH,7.20507482750104
193,199,up_mirzapur,Mirzapur,mirzapur,09,9,UP,UTTAR PRADESH,5.990299123959892
194,135,up_moradabad,Moradabad,moradabad,09,9,UP,UTTAR PRADESH,5.310926506496936
506,419,mp_morena,Morena,morena,23,23,MP,MADHYA PRADESH,5.710541161914467
469,717,cg_mungeli,Mungeli,mungeli,22,22,CG,CHHATTISGARH,1.2838546945774436
195,133,up_muzaffarnagar,Muzaffarnagar,muzaffarnagar,09,9,UP,UTTAR PRADESH,6.729736709656743
620,577,ka_mysuru,Mysuru,mysuru,29,26,KA,KARNATAKA,5.265929338990955
442,397,od_nabarangapur,Nabarangapur,nabarangapur,21,21,OD,ODISHA,1.5894053792568537
129,112,rj_nagaur,Nagaur,nagaur,08,8,RJ,RAJASTHAN,8.126772155777948
66,066,uk_nainital,Nainital,nainital,05,5,UK,UTTARAKHAND,3.4489402720367552
470,415,cg_narayanpur,Narayanpur,narayanpur,22,22,CG,CHHATTISGARH,0.14966014713000786
550,487,gj_narmada,Narmada,narmada,24,24,GJ,GUJARAT,0.9525940522156197
507,452,mp_narsimhapur,Narsimhapur,narsimhapur,23,23,MP,MADHYA PRADESH,2.059931057238327
443,385,od_nayagarh,Nayagarh,nayagarh,21,21,OD,ODISHA,1.0978788723474449
96,094,dl_new_delhi,New Delhi,new_delhi,07,7,DL,DELHI,0.496663380013172
689,638,an_nicobars,Nicobars,nicobars,35,32,AN,ANDAMAN & NICOBAR,0.019628037
508,432,mp_neemuch,Neemuch,neemuch,23,23,MP,MADHYA PRADESH,1.8922263566950004
97,091,dl_north,North,north,07,7,DL,DELHI,0.916891991553962
252,241,sk_north__district,North  District,north__district,11,11,SK,SIKKIM,0.1948438682835197
690,639,an_north__&_middle_andaman,North  & Middle Andaman,north__&_middle_andaman,35,32,AN,ANDAMAN & NICOBAR,0.09595211576656938
98,092,dl_north_east,North East,north_east,07,7,DL,DELHI,0.11217472652382196
630,585,ga_north_goa,North Goa,north_goa,30,27,GA,GOA,2.765043140911544
322,292,tr_north_tripura,North Tripura,north_tripura,16,16,TR,TRIPURA,0.8290288912228275
99,090,dl_north_west,North West,north_west,07,7,DL,DELHI,0.4720333700927584
444,394,od_nuapada,Nuapada,nuapada,21,21,OD,ODISHA,0.7823295380851589
411,353,jh_pakur,Pakur,pakur,20,20,JH,JHARKHAND,1.3505699728552383
642,593,kl_palakkad,Palakkad,palakkad,32,29,KL,KERALA,4.341749860745927
412,358,jh_palamu,Palamu,palamu,20,20,JH,JHARKHAND,3.8435119428594136
130,118,rj_pali,Pali,pali,08,8,RJ,RAJASTHAN,6.381962797077571
552,484,gj_panch_mahals,Panch Mahals,panch_mahals,24,24,GJ,GUJARAT,4.784459920011448
510,426,mp_panna,Panna,panna,23,23,MP,MADHYA PRADESH,1.6824939236860175
413,368,jh_pashchimi_singhbhum,Pashchimi Singhbhum,pashchimi_singhbhum,20,20,JH,JHARKHAND,3.0930609047213133
643,599,kl_pathanamthitta,Pathanamthitta,pathanamthitta,32,29,KL,KERALA,2.0118639262636537
64,061,uk_garhwal,Garhwal,garhwal,05,5,UK,UTTARAKHAND,2.0307246417938343
196,151,up_pilibhit,Pilibhit,pilibhit,09,9,UP,UTTAR PRADESH,5.6490018258103065
197,131,rj_pratapgarh,Pratapgarh,pratapgarh,08,8,RJ,RAJASTHAN,1.4616949268623747
197,173,up_pratapgarh,Pratapgarh,pratapgarh,09,9,UP,UTTAR PRADESH,5.932190219882283
687,635,py_puducherry,Puducherry,puducherry,34,31,PY,PUDUCHERRY,1.6538627538215618
414,357,jh_purbi_singhbhum,Purbi Singhbhum,purbi_singhbhum,20,20,JH,JHARKHAND,4.125249402338104
